Roles	Users	OID	OptimisticLockField
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{13E05C65-6CAF-43F4-B83D-60B66F098D4A}	{6C8D2152-E303-4467-8DA0-9311B691074E}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{BD39037F-FF01-4749-AE0B-084EB85B46A4}	{EE301F37-10B5-42E5-AE5F-958D9518F912}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{3A94E8D0-4C74-4B36-B446-31BDE630C0A8}	{222F5A1B-FAA2-4FED-AE27-95B0810EE350}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{D671D3A0-FB68-4886-9F68-E5041D65D2E8}	{A796F6FA-8F3E-4D15-A2B2-95D96F6DD48B}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{4966CBA9-9CB9-41C0-B982-A22FF5813C37}	{8D545855-4BAE-4280-A5A7-961E88135290}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{26955138-B504-4F58-982A-E2CCB7F59903}	{C965897D-FE4A-4B23-B59B-963516CCEFD4}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{7EC538B3-B56F-4402-A274-610AD4AA0312}	{4B369CC3-1319-45BB-9B7E-96E3095E138D}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{55D70B16-A03E-4262-9E95-FBEE52829784}	{66EAE995-D046-46C9-A17B-97043D56BFA3}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{5F3D08A6-A6B9-4DC4-8250-47070F55415E}	{B79E0684-C390-4FC8-81DB-9CA50E208086}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{19925F8B-1FD7-4F18-ACE9-DB5119296998}	{88F2CCAD-7789-4E7A-BE56-9DF18D3172F7}	0
